Timestamp,Year,Month,Season,DayOfWeek,WeekDay,Hour,Holiday,Weather,SpecialEvent,CustomerCount,Orders,Revenue,StaffingLevel
2018-01-01 00:00:00,2018,1,Winter,1,Monday,0,New Year's Day,Rainy,None,6,5,52.3,5
2018-01-01 01:00:00,2018,1,Winter,1,Monday,1,New Year's Day,Windy,None,11,7,129.41,7
2018-01-01 02:00:00,2018,1,Winter,1,Monday,2,New Year's Day,Snowy,None,9,6,94.64,5
2018-01-01 03:00:00,2018,1,Winter,1,Monday,3,New Year's Day,Rainy,None,10,5,80.61,7
2018-01-01 04:00:00,2018,1,Winter,1,Monday,4,New Year's Day,Cloudy,None,14,11,184.34,5
2018-01-01 05:00:00,2018,1,Winter,1,Monday,5,New Year's Day,Cloudy,None,14,10,144.51,6
2018-01-01 06:00:00,2018,1,Winter,1,Monday,6,New Year's Day,Cloudy,None,6,3,60.05,7
2018-01-01 07:00:00,2018,1,Winter,1,Monday,7,New Year's Day,Snowy,None,26,18,285.42,6
2018-01-01 08:00:00,2018,1,Winter,1,Monday,8,New Year's Day,Rainy,None,16,15,209.55,6
2018-01-01 09:00:00,2018,1,Winter,1,Monday,9,New Year's Day,Snowy,None,17,13,210.54,7
2018-01-01 10:00:00,2018,1,Winter,1,Monday,10,New Year's Day,Cloudy,None,18,15,231.22,6
2018-01-01 11:00:00,2018,1,Winter,1,Monday,11,New Year's Day,Windy,None,35,21,298,8
2018-01-01 12:00:00,2018,1,Winter,1,Monday,12,New Year's Day,Snowy,None,35,24,396.17,7
2018-01-01 13:00:00,2018,1,Winter,1,Monday,13,New Year's Day,Cloudy,None,41,27,422.63,8
2018-01-01 14:00:00,2018,1,Winter,1,Monday,14,New Year's Day,Cloudy,None,46,31,445.2,9
2018-01-01 15:00:00,2018,1,Winter,1,Monday,15,New Year's Day,Cloudy,None,30,19,283.8,7
2018-01-01 16:00:00,2018,1,Winter,1,Monday,16,New Year's Day,Rainy,None,22,18,257.06,7
2018-01-01 17:00:00,2018,1,Winter,1,Monday,17,New Year's Day,Rainy,None,6,6,119.94,7
2018-01-01 18:00:00,2018,1,Winter,1,Monday,18,New Year's Day,Rainy,None,42,28,405.2,10
2018-01-01 19:00:00,2018,1,Winter,1,Monday,19,New Year's Day,Cloudy,None,51,35,536.52,8
2018-01-01 20:00:00,2018,1,Winter,1,Monday,20,New Year's Day,Rainy,None,42,30,431.92,10
2018-01-01 21:00:00,2018,1,Winter,1,Monday,21,New Year's Day,Cloudy,None,49,36,573.78,10
2018-01-01 22:00:00,2018,1,Winter,1,Monday,22,New Year's Day,Cloudy,None,9,8,132.63,7
